back;228;0.16653519151547025%
if;224;0.16361352148888306%
procurator;223;0.16288310398223624%
under;219;0.15996143395564905%
here;219;0.15996143395564905%
will;218;0.15923101644900226%
only;216;0.15777018143570865%
very;214;0.15630934642241506%
went;211;0.15411809390247466%
off;210;0.15338767639582784%
same;208;0.15192684138253426%
You;208;0.15192684138253426%
where;208;0.15192684138253426%
are;206;0.15046600636924065%
could;204;0.14900517135594707%
or;203;0.14827475384930025%
like;202;0.14754433634265346%
two;200;0.14608350132935985%
master;200;0.14608350132935985%
What;197;0.14389224880941948%
Pilate;196;0.14316183130277266%
do;193;0.14097057878283226%
face;185;0.13512723872965787%
voice;184;0.13439682122301108%
any;181;0.13220556870307068%
more;181;0.13220556870307068%
don;176;0.12855348116983667%
black;175;0.12782306366318988%
ll;172;0.12563181114324948%
their;172;0.12563181114324948%
something;169;0.12344055862330908%
away;169;0.12344055862330908%
even;169;0.12344055862330908%
turned;168;0.12271014111666229%
Here;166;0.12124930610336869%
Ivanovich;166;0.12124930610336869%
first;165;0.12051888859672188%
come;165;0.12051888859672188%
hand;164;0.1197884710900751%
other;163;0.11905805358342829%
m;159;0.1161363835568411%
before;158;0.11540596605019429%
once;157;0.11467554854354749%
room;156;0.1139451310369007%
after;155;0.11321471353025389%
got;154;0.1124842960236071%
how;153;0.1117538785169603%
just;152;0.11102346101031349%
Azazello;152;0.11102346101031349%
thought;151;0.1102930435036667%
when;150;0.1095626259970199%
go;147;0.1073713734770795%
has;147;0.1073713734770795%
can;146;0.1066409559704327%
right;145;0.1059105384637859%
Berlioz;144;0.1051801209571391%
its;143;0.1044497034504923%
know;142;0.1037192859438455%
cried;142;0.1037192859438455%
No;141;0.1029888684371987%
through;141;0.1029888684371987%
left;140;0.1022584509305519%
apartment;140;0.1022584509305519%
In;136;0.09933678090396471%
re;136;0.09933678090396471%
see;136;0.09933678090396471%
again;135;0.0986063633973179%
around;134;0.09787594589067111%
woman;133;0.09714552838402431%
thing;132;0.0964151108773775%
well;132;0.0964151108773775%
Nikanor;132;0.0964151108773775%
saw;131;0.09568469337073071%
already;130;0.0949542758640839%
There;129;0.09422385835743712%
door;129;0.09422385835743712%
Yes;127;0.09276302334414352%
without;125;0.09130218833084991%
Well;125;0.09130218833084991%
took;124;0.09057177082420312%
we;123;0.08984135331755631%
made;122;0.08911093581090952%
nothing;122;0.08911093581090952%
put;121;0.08838051830426272%
house;120;0.08765010079761591%
long;120;0.08765010079761591%
place;119;0.08691968329096912%
Moscow;118;0.08618926578432232%
white;115;0.08399801326438192%
way;115;0.08399801326438192%
window;115;0.08399801326438192%
suddenly;114;0.08326759575773512%
front;114;0.08326759575773512%
hands;113;0.08253717825108832%
guest;113;0.08253717825108832%
say;113;0.08253717825108832%
Styopa;112;0.08180676074444153%
second;112;0.08180676074444153%
also;112;0.08180676074444153%
Rimsky;111;0.08107634323779472%
Then;111;0.08107634323779472%
course;109;0.07961550822450113%
floor;108;0.07888509071785432%
light;108;0.07888509071785432%
going;107;0.07815467321120753%
never;107;0.07815467321120753%
people;107;0.07815467321120753%
Ah;105;0.07669383819791392%
city;104;0.07596342069126713%
Varenukha;103;0.07523300318462033%
behind;103;0.07523300318462033%
reason;101;0.07377216817132673%
looked;100;0.07304175066467992%
This;99;0.07231133315803313%
She;99;0.07231133315803313%
whispered;98;0.07158091565138633%
take;98;0.07158091565138633%
good;96;0.07012008063809273%
such;95;0.06938966313144593%
ve;95;0.06938966313144593%
get;95;0.06938966313144593%
having;95;0.06938966313144593%
sat;95;0.06938966313144593%
these;94;0.06865924562479914%
stood;94;0.06865924562479914%
everything;93;0.06792882811815233%
table;93;0.06792882811815233%
must;92;0.06719841061150554%
flew;92;0.06719841061150554%
Behemoth;91;0.06646799310485874%
That;90;0.06573757559821194%
tell;89;0.06500715809156514%
words;89;0.06500715809156514%
fell;89;0.06500715809156514%
than;88;0.06427674058491833%
last;88;0.06427674058491833%
whole;88;0.06427674058491833%
